conference,year,title,authors
Western Finance Association,2020,"As Program Chair, I would like to thank the members of the Program Committee for their dedicated service to the WFA. Their expert reviews are the main input in evaluating submitted papers and are what allow us each year to create a high quality program. I would also like to express deep gratitude to my colleagues all over the world who served as Associate Program Chairs this year. They worked hard to help me prescreen the initial submissions, create a program from the many highly-rated papers, and select the best-paper awards. Of course, I am very thankful to the authors for submitting their outstanding papers to the conference, to the session chairs for ﬁnding excellent discussants, and to the discussants for providing constructive feedback to our authors. The Association is so fortunate to have Bryan Routledge on its leadership team. I am deeply appreciative of his wise counsel, his expert management of the logistics, the IT system that is the backbone for the WFA, and for his cheerful and tireless support in the program creation process. I thank Andrew Karolyi for generously sharing his experiences as Program Chair from last year, and John Grifﬁn and Christine Parlour for their advice and guidance. It is a joy to work with Leigh Ann Clark and Robyn Scholl who expertly manage the conference logistics. I thank them for their hard work and dedication. This year many other people who helped organize a virtual version of the WFA deserve thanks. The expertise of Larry Suarez has been invaluable for setting up our Zoom webinars. Next, six PhD students from the University of Michigan and Carnegie Mellon University volunteered their time to participate in a test Zoom session: Zahra Ebrhimi, Thomas Flanagan, Emil Lakkis, George Malikov, Tae-Uk Seo, and Rachel Szymanski. I also thank the six University of Michigan PhD students who are serving as the technical support team: James Caldera, Thomas Flanagan, Mayank Kumar, Hedieh Rashidi, Yuan Shi, and Alex Tuft. Last, but not least, I would like to thank our sponsors for their continued support of the WFA.",Toni M. Whited
Western Finance Association,2021,Deputization,Mark Egan
Western Finance Association,2021,Becker Meets Kyle: Legal Risk and Insider Trading,Bruce Carlin; Tarik Umar; Hanyi Yi
Western Finance Association,2021,Does CFPB Oversight Crimp Credit?,Marcin Kacperczyk; Emiliano Pagnotta
Western Finance Association,2021,Treasury Inconvenience Yields during the COVID-19 Crisis,Nina Boyarchenko
Western Finance Association,2021,What Drives U.S. Treasury Re-use?,Zhiguo He; Stefan Nagel; Zhaogang Song
Western Finance Association,2021,Financial Intermediaries and The Yield Curve,Sebastian Infante; Zack Saravay
Western Finance Association,2021,Gender Quotas and Support for Women in Board Elections,Lalitha Naveen
Western Finance Association,2021,Self-image Bias and Talent Loss,Marina Gertsberg; Johanna Mollerstrom; Michaela Pagel
Western Finance Association,2021,Entrepreneurial Teams: Diversity of Skills and Early-Stage Growth,Marciano Siniscalchi; Pietro Veronesi
Western Finance Association,2021,Echo Chambers,Zhi Da
Western Finance Association,2021,Does Alternative Data Improve Financial Forecasting? The Horizon Effect,J. Anthony Cookson; Joseph Engelberg; William Mullins
Western Finance Association,2021,Taming the Bias Zoo,Hongqi Liu; Cameron Peng; Wei A. Xiong; Wei Xiong
Western Finance Association,2021,Federal Lending Policies,Motohiro Yogo
Western Finance Association,2021,"Did Banks Pay ""Fair"" Returns to Taxpayers on TARP?",Amiyatosh Purnanandam; Thomas M. Flanagan
Western Finance Association,2021,The Reserve Supply Channel of Unconventional Monetary Policy,William Diamond; Zhengyang Jiang; Yiming Ma
Western Finance Association,2021,The Financial Origins of the Rise and Fall of American Inﬂation,Itamar Drechsler; Alexi Savov; Philipp Schnabl
Western Finance Association,2021,Firm Reactions to Law and Policy,Bo Becker
Western Finance Association,2021,Do Court Delays Distort Capital Formation?,Pantelis Koutroumpis; Farshad Ravasan
Western Finance Association,2021,Social Inﬂation,Sangmin Oh
Western Finance Association,2021,Trade Credit and the Transmission of Unconventional Monetary Policy,Manuel Adelino; Miguel Ferreira; Mariassunta Giannetti; Pedro Pires
Western Finance Association,2021,Discontinued Positive Feedback Trading and the Decline of Momentum Proﬁtability,Itzhak Ben-David; Jiacui Li; Andrea Rossi; Yang Song
Western Finance Association,2021,Equilibrium Value and Proﬁtability Premia,Hengjie Ai; Jun Li; Jincheng Tong
Western Finance Association,2021,Time-Series Efﬁcient Factors,Sina Ehsani; Juhani Linnainmaa
Western Finance Association,2021,Do Mutual Funds Manipulate Star Ratings? Evidence from Portfolio Pumping,Sanghyun (Hugh) Kim
Western Finance Association,2021,Institution-Broker Relationship and Mutual Fund Proxy Voting,Nitish Kumar; Yuehua Tang; Kelsey D. Wei
Western Finance Association,2021,TAXI! Do Mutual Funds Pursue and Exploit Information on Local Companies?,David Cicero; Andy Puckett; Albert Wang; Shen Zhang
Western Finance Association,2021,Why is Intermediating Houses so Difﬁcult? Evidence from iBuyers,Greg Buchak; Gregor Matvos; Tomasz Piskorski; Amit Seru
Western Finance Association,2021,How Costly Are Cultural Biases? Evidence from FinTech,Francesco D’Acunto; Alberto Rossi; Pulak Ghosh
Western Finance Association,2021,Open Banking: Credit Market Competition When Borrowers Own the Data,Zhiguo He; Jing Huang; Jidong Zhou
Western Finance Association,2021,Selﬁsh Corporations,Emanuele Colonnelli; Niels Gormsen
Western Finance Association,2021,The Allocation of Socially Responsible Capital,Daniel Green; Ben Roth
Western Finance Association,2021,CEO Activism and Firm Value,Anahit Mkrtchyan; Jason Sandvik; Vivi Zhu
Western Finance Association,2021,Manufacturing Risk-Free Government Debt,Zhengyang Jiang; Hanno Lustig; Stijn Van Nieuwerburgh; Mindy Z. Xiaolan
